,SID,X,Private,Class,Sex,Condition,Item,Soph_pre,Correct_pre,Soph_post,Correct_post,Theta
1,956010101,1,1,1,F,REV,B,H,1,1,1,1.385336
2,956010101,2,1,1,F,REV,C,2,1,H,1,1.385336
3,956010101,3,1,1,F,REV,Da,2,1,2,1,1.385336
4,956010101,4,1,1,F,REV,Db,NA,0,1,1,1.385336
5,956010101,5,1,1,F,REV,E,2,1,2,1,1.385336
6,956010101,6,1,1,F,REV,G,2,0,2,1,1.385336
7,956010101,7,1,1,F,REV,H,3,1,3,1,1.385336
8,956010101,8,1,1,F,REV,I,NA,0,H,0,1.385336
9,956010101,9,1,1,F,REV,J,NA,0,1,1,1.385336
10,956010101,10,1,1,F,REV,K,NA,0,2,1,1.385336
11,956010101,11,1,1,F,REV,L,H,1,H,0,1.385336
12,956010101,12,1,1,F,REV,M,H,0,2,1,1.385336
13,956010101,13,1,1,F,REV,N,NA,NA,H,1,1.385336
14,956010101,14,1,1,F,REV,P,NA,NA,3,2,1.385336
15,956010101,15,1,1,F,REV,Q,NA,NA,0,0,1.385336
16,956010101,16,1,1,F,REV,U,NA,NA,1,0,1.385336
17,956010101,17,1,1,F,REV,V,NA,NA,1,0,1.385336
18,956010101,18,1,1,F,REV,X,NA,NA,H,0,1.385336
19,956010101,19,1,1,F,REV,X15,H,0,NA,0,1.385336
20,956010101,20,1,1,F,REV,X21,NA,NA,3,1,1.385336
21,956010101,21,1,1,F,REV,X31.1,NA,NA,H,0,1.385336
22,956010101,22,1,1,F,REV,X32,NA,NA,0,0,1.385336
23,956010101,23,1,1,F,REV,X33,H,0,H,0,1.385336
24,956010101,24,1,1,F,REV,X37,H,0,H,0,1.385336
25,956010101,25,1,1,F,REV,X50,NA,NA,H,0,1.385336
26,956010101,26,1,1,F,REV,Z,NA,NA,NA,0,1.385336
27,956010102,27,1,1,M,LT,B,H,1,1,1,1.426023
28,956010102,28,1,1,M,LT,C,H,1,2,1,1.426023
29,956010102,29,1,1,M,LT,Da,2,1,2,1,1.426023
30,956010102,30,1,1,M,LT,Db,1,1,1,1,1.426023
31,956010102,31,1,1,M,LT,E,1,1,2,1,1.426023
32,956010102,32,1,1,M,LT,G,2,1,2,1,1.426023
33,956010102,33,1,1,M,LT,H,3,1,3,1,1.426023
34,956010102,34,1,1,M,LT,I,2,0,2,1,1.426023
35,956010102,35,1,1,M,LT,J,2,1,1,1,1.426023
36,956010102,36,1,1,M,LT,K,H,0,3,1,1.426023
37,956010102,37,1,1,M,LT,L,H,0,H,0,1.426023
38,956010102,38,1,1,M,LT,M,NA,0,3,1,1.426023
39,956010102,39,1,1,M,LT,N,NA,NA,H,1,1.426023
40,956010102,40,1,1,M,LT,P,NA,NA,3,2,1.426023
